team,offence,defence
,1.3779286562955824,1.1072499157659568
AFC Bournemouth,0.9966141129368767,1.2221164872685035
Arsenal,1.1618383017344547,1.034407358249808
Brighton & Hove Albion,0.7086737919461817,1.1261853836384361
Burnley,0.8743966523494153,1.1781337820356903
Cardiff City,0.7853916094347584,1.177995875932865
Chelsea,1.1548060993338163,0.8266234058182492
Crystal Palace,1.0024919525448266,1.0804357943541347
Everton,1.0159167113970047,0.8220820856882848
Fulham,0.7972591488067425,1.3004320430864629
Huddersfield Town,0.6317151989645219,1.2605523944082262
Leicester City,1.0060618761177285,0.8866361437333761
Liverpool,1.4160967975900656,0.5897010259193712
Manchester City,1.518995985639602,0.49388519844278167
Manchester United,1.1639904778846073,1.0173820288609334
Newcastle United,0.872602867661492,0.9495540642294515
Southampton,0.9124988330649638,1.1421193258253561
Tottenham Hotspur,1.1152176225631134,0.8544454115417222
Watford,0.9495449958246897,1.144458168265964
West Ham United,1.03475045028866,1.0033718240265581
Wolverhampton Wanderers,0.8811365139164786,0.889482198673826
