1,50000632,4078,
2,50002245,40058,
4,50002247,623,
5,50003266,6321,
6,50001566,9168,
7,50000741,432,
8,50002954,4284,
9,50000820,813,
10,50001852,1061,
11,50002244,626,
12,50000818,1247,
13,50001153,8816,
14,50002609,6643,
15,50002715,218,
16,50002454,25467,
17,50002354,45604,
18,50002773,9636,
19,50003092,11141,
20,50002488,4291,
21,50001793,2553,
22,50001512,2999,
23,50000695,371,
24,50002575,124,
25,50000044,370,
26,50002422,2760,
27,50001618,2451,
28,50001023,511,
29,50002964,2578,
30,50002179,987,
31,50002655,2759,
32,50001529,43,
33,50001005,16,
34,50002000,39,
35,50002766,33,
36,50001511,41,
37,50003360,86,
38,50000407,27,
39,50002144,18,
40,50001901,15,
41,50000797,3,
42,50001311,60,
43,50003377,82,
44,50001306,24,
45,50001606,4795,
46,50002556,23826,
47,50001541,44,
48,50000934,105,
49,50001549,533,
50,50000294,167,
51,50002994,79,
52,50001515,42,
53,50002383,127,
55,50000833,190,
56,50002140,162,
57,50001978,1041,
58,50001517,2976,
59,50000240,11,
60,50002821,2481,
61,50000175,58,
62,50002424,,
63,50001205,,
64,50289790,,
66,50000340,,
68,50002420,583,
69,50003068,10734,
70,50000904,159,
71,50002659,1083,
72,50002654,195,
73,50001022,,
74,50002210,6195,
75,50002545,10625,
76,50003323,1050,
77,50003321,941,
78,50000449,294,
79,50000401,26,
80,50002811,660,
81,50001146,22220,
82,50002490,720,
83,50000369,131,
84,50002589,418,
85,50003408,602,
86,50002938,197,
87,50000405,713,
88,50001251,1002,
89,50000995,,
90,50001741,506,
91,50003426,6808,
92,50003099,148,
93,50002023,281,
94,50003403,452,
95,50000586,2282,
96,50000119,,
97,50001188,301,
98,50002804,368,
99,50003117,,
100,50002709,409,
101,50000641,2410,
102,50002681,23777,
103,50001920,38204,
104,50003273,,
105,50001231,36,
106,50002370,1091,
107,50001019,853,
108,50001890,1003,
109,50000461,114,
111,50001964,31614,
112,50001889,255,
113,50002647,12,
114,50002951,336,
115,50002331,4772,
116,50002337,683,
117,50000267,13,
118,50003263,,
119,50001233,279,
120,50000068,610,
121,50002380,383,
122,50000996,419,
123,50001028,338,
124,50000901,21532,
125,50002286,2844,
126,50000028,2784,
127,50002309,4,
128,50000523,23,
132,50001784,,
138,50001716,15817,
139,,15838,
140,50334367,15831,
141,50002986,512,
142,50003361,984,
143,50000905,873,
144,50001138,29,
145,50000601,1132,
146,50002891,180,
147,50002114,641,
148,50000510,989,
149,50002035,985,
150,50001571,3008,
151,50001928,31,
152,50000724,631,
153,50003362,379,
154,50003009,2288,
155,50003353,1010,
156,50003000,289,
157,50002252,762,
158,50000249,405,
159,50002299,1123,
160,50002543,1039,
161,50000677,603,
162,50001320,931,
163,50002202,982,
164,50001125,1465,
165,50000722,3325,
166,50001230,3349,
167,50000238,8024,
169,50003090,7179,
171,50002634,2425,
172,50000515,1075,
173,50001234,2995,
174,50002166,979,
175,50001482,2420,
176,50000479,2503,
177,50002054,1301,
182,50002434,3327,
183,50001418,2424,
185,50003111,449,
187,50001336,141,
188,50001346,,
189,50000118,,
191,50000602,,
194,50001799,,
196,50000400,6890,
198,50001771,,
200,2260,,
201,50001117,,
202,50002844,,
206,50000468,337,
207,50000577,698,
208,50000604,2963,
209,50000573,1237,
210,50002532,466,
211,50002302,703,
212,50002660,1194,
213,50000982,22,
214,50002819,1035,
215,50000397,349,
216,50000470,164,
217,50001569,1110,
218,50000570,1148,
219,50002585,1032,
220,50001620,677,
221,50003369,1071,
222,50001887,399,
223,50003380,543,
225,50000716,358,
226,50000490,355,
227,50002120,991,
228,50000471,1181,
229,50002118,1028,
231,50001002,2454,
233,50000606,,
234,50003017,352,
235,50002641,1088,
236,50003349,899,
238,50001419,2814,
239,50000887,990,
240,50001248,11177,
241,50000022,3884,
242,50002290,1302,
243,50002369,988,
244,50000578,2455,
245,50002829,3054,
246,50002326,1078,
247,50002485,1211,
248,50000513,1027,
249,50000738,1219,
250,50002449,1072,
251,50002818,350,
252,50000893,1042,
253,50000793,1060,
