Asia AFC Cup,亞洲足協盃,30
China China League One,中國甲級聯賽,29
China Chinese FA Cup,中國足協盃,29
China Chinese Super League,中國超級聯賽,28
Hong Kong Hong Kong FA Cup,香港足總盃,00
Hong Kong Hong Kong Premier League,香港超級聯賽,00
Hong Kong Senior Shield,香港高級組銀牌,00
